distance,relative_time_s
3.85,0.0
3.85,0.01512600000000929
3.85,0.03029400000002624
3.85,0.0456899999999222
3.72,0.0606609999999818
3.72,0.0758949999999458
3.85,0.0908680000000003
3.85,0.105965999999966
3.85,0.1209830000000238
3.85,0.1359479999999848
3.85,0.150916999999935
3.85,0.165928000000008
3.85,0.180860999999936
3.85,0.195919000000003
3.85,0.210893999999939
3.85,0.2259470000000192
3.85,0.2415619999999307
3.85,0.2566499999999223
3.85,0.2717430000000149
4.52,0.286714999999958
4.76,0.301949999999919
4.87,0.3169339999999465
5.11,0.331905000000006
7.19,0.34717599999999
7.96,0.3626829999999472
8.35,0.378170999999952
8.57,0.3938200000000051
8.57,0.409355
8.66,0.4246759999999767
8.66,0.4400539999999182
9.41,0.4554379999999582
10.01,0.4711069999999608
10.87,0.4865369999999984
12.21,0.50198799999998
12.56,0.517555000000015
14.02,0.533098999999992
15.59,0.54875800000002
16.56,0.564638999999942
17.28,0.580523999999968
18.94,0.596578000000022
21.98,0.61298499999998
23.26,0.629676000000017
24.21,0.646126999999978
26.12,0.663645999999971
30.07,0.680099999999924
30.38,0.696744999999964
31.24,0.713254000000006
32.43,0.730133000000023
33.14,0.746981000000005
36.77,0.763903000000027
37.59,0.78083299999991
38.08,0.797823999999991
41.78,0.814990999999963
43.63,0.832154999999943
44.95,0.84942599999999
45.24,0.866742999999928
46.56,0.884228000000007
50.6,0.901804999999967
52.8,0.91954499999997
55.51,0.93751899999995
56.95,0.95549499999992
58.42,0.973574999999982
60.98,0.992023000000017
62.81,1.010288999999943
62.81,1.02886699999999
63.96,1.047314000000028
63.96,1.065964000000008
67.62,1.08484599999997
67.62,1.103748999999993
69.1,1.123041999999941
71.65,1.141088999999965
73.84,1.160506999999938
79.09,1.178994999999986
84.11,1.198675999999977
90.44,1.216106999999965
90.44,1.236166000000025
96.15,1.2566389999999
98.42,1.276972999999998
98.42,1.29765199999997
98.42,1.31829800000002
98.42,1.339019000000007
98.57,1.356532000000015
99.54,1.37701800000002
101.33,1.397718999999938
105.7,1.41515199999992
106.53,1.43533899999999
106.53,1.452854
106.53,1.47316599999999
106.53,1.49407799999994
106.54,1.514801999999917
106.54,1.535461999999938
106.54,1.556176999999934
106.54,1.577133000000003
106.56,1.597797000000014
106.56,1.615313000000014
106.56,1.63622399999997
106.56,1.65705500000001
106.56,1.674869999999941
106.56,1.69537600000001
106.56,1.7161699999999
106.16,1.736969999999928
106.16,1.755443000000013
106.16,1.776333000000022
106.16,1.79700100000002
106.58,1.817780999999968
106.58,1.835273000000029
106.58,1.855478999999945
106.64,1.872882000000004
107.0,1.893832999999972
107.0,1.914655999999922
107.0,1.935313999999948
107.0,1.956016999999974
107.0,1.97682799999995
107.0,1.997574999999983
107.02,2.01841000000001
107.02,2.03915299999994
107.02,2.06027199999994
107.02,2.08113200000002
107.02,2.1018299999999
107.02,2.12279
107.02,2.14349700000002
107.0,2.164483000000018
107.0,2.185107000000016
107.0,2.206561999999962
107.0,2.22746399999994
107.0,2.24825899999996
107.0,2.269191999999975
107.0,2.28997199999992
107.0,2.311108999999987
107.0,2.33183299999996
107.0,2.352754000000004
107.0,2.373586999999929
107.0,2.39453700000001
106.65,2.415571999999997
106.65,2.43621599999994
106.65,2.45718899999997
106.65,2.47787199999993
106.64,2.49858399999993
106.56,2.519272999999998
106.56,2.540015999999923
106.56,2.560742000000004
106.56,2.5814159999999
106.64,2.60224399999992
106.65,2.622883000000001
106.65,2.643427999999971
106.65,2.66442599999993
107.0,2.682855000000017
107.0,2.703599999999937
107.0,2.724761999999941
107.0,2.745479999999929
107.02,2.76618399999995
107.02,2.786855999999943
107.02,2.80778899999995
107.02,2.82881999999995
107.02,2.84951799999998
107.02,2.87025499999992
107.02,2.89135099999998
107.02,2.91207899999994
107.02,2.93283999999994
107.0,2.954223999999953
107.02,2.97523000000001
106.62,2.995857
106.54,3.01647500000001
106.54,3.03713800000002
106.54,3.057956999999987
106.54,3.07895299999995
106.54,3.099865000000022
106.54,3.12047899999993
106.56,3.141434
106.62,3.162308999999936
107.02,3.182956999999987
106.56,3.204310999999961
106.56,3.22517099999993
106.54,3.24589600000001
106.56,3.26660500000002
107.02,3.287255999999956
106.65,3.308205999999927
106.65,3.32904299999995
107.02,3.34975899999994
107.02,3.37076999999999
107.02,3.39184
107.02,3.412748999999962
107.02,3.43339400000002
106.71,3.45409599999993
107.02,3.47490399999992
107.02,3.496137999999973
107.02,3.516751999999996
107.02,3.53738099999998
107.02,3.55865099999994
106.58,3.57950799999991
107.02,3.600199999999972
107.02,3.62125500000001
107.0,3.642250999999987
106.98,3.66294900000002
106.98,3.683669
106.62,3.704447999999956
106.98,3.725154999999972
106.62,3.74626899999998
106.62,3.766877000000022
106.58,3.787511999999992
106.56,3.80895099999997
106.56,3.829649000000017
106.54,3.850577999999927
106.54,3.871141999999963
106.54,3.891833000000019
106.54,3.91254500000002
106.54,3.933265
106.54,3.95416099999999
106.56,3.974949999999921
106.56,3.99582899999995
106.56,4.01651199999992
106.56,4.03731399999992
106.56,4.0579719999999
106.65,4.078934
107.02,4.09965799999997
107.04,4.120362999999997
107.04,4.14146499999992
107.04,4.162193
107.04,4.18290899999999
107.04,4.20358399999997
107.02,4.22456799999997
106.78999999999999,4.24555599999996
106.56,4.26621
106.56,4.28693499999997
106.56,4.3079679999999
106.78999999999999,4.3288319999999
106.56,4.34950500000002
