distance,relative_time_s
3.85,0.2566499999999223
3.85,0.2717430000000149
4.52,0.286714999999958
4.76,0.301949999999919
4.87,0.3169339999999465
5.11,0.331905000000006
7.19,0.34717599999999
7.96,0.3626829999999472
8.35,0.378170999999952
8.57,0.3938200000000051
8.57,0.409355
8.66,0.4246759999999767
8.66,0.4400539999999182
9.41,0.4554379999999582
10.01,0.4711069999999608
10.87,0.4865369999999984
12.21,0.50198799999998
12.56,0.517555000000015
14.02,0.533098999999992
15.59,0.54875800000002
16.56,0.564638999999942
17.28,0.580523999999968
18.94,0.596578000000022
21.98,0.61298499999998
23.26,0.629676000000017
24.21,0.646126999999978
26.12,0.663645999999971
30.07,0.680099999999924
30.38,0.696744999999964
31.24,0.713254000000006
32.43,0.730133000000023
33.14,0.746981000000005
36.77,0.763903000000027
37.59,0.78083299999991
38.08,0.797823999999991
41.78,0.814990999999963
43.63,0.832154999999943
44.95,0.84942599999999
45.24,0.866742999999928
46.56,0.884228000000007
50.6,0.901804999999967
52.8,0.91954499999997
55.51,0.93751899999995
56.95,0.95549499999992
58.42,0.973574999999982
60.98,0.992023000000017
62.81,1.010288999999943
62.81,1.02886699999999
63.96,1.047314000000028
63.96,1.065964000000008
67.62,1.08484599999997
67.62,1.103748999999993
69.1,1.123041999999941
71.65,1.141088999999965
73.84,1.160506999999938
79.09,1.178994999999986
84.11,1.198675999999977
90.44,1.216106999999965
90.44,1.236166000000025
96.15,1.2566389999999
98.42,1.276972999999998
98.42,1.29765199999997
98.42,1.31829800000002
98.42,1.339019000000007
98.57,1.356532000000015
99.54,1.37701800000002
101.33,1.397718999999938
105.7,1.41515199999992
106.53,1.43533899999999
106.53,1.452854
