unix_timestamp,time_since_midnight,distance,relative_time_us,relative_time_ms,relative_time_s
1748135021.627,72221.627,98.57,612214050,612214.05,1.3565320000000156
1748135021.647,72221.647,99.54,612234536,612234.536,1.377018000000021
1748135021.668,72221.668,101.33,612255237,612255.237,1.3977189999999382
1748135021.685,72221.685,105.7,612272670,612272.67,1.415151999999921
1748135021.705,72221.705,106.53,612292857,612292.857,1.435338999999999
1748135021.723,72221.723,106.53,612310372,612310.372,1.452854000000002
1748135021.743,72221.743,106.53,612330684,612330.684,1.473165999999992
1748135021.764,72221.764,106.53,612351596,612351.596,1.494077999999945
1748135021.785,72221.785,106.54,612372320,612372.32,1.5148019999999178
1748135021.805,72221.805,106.54,612392980,612392.98,1.5354619999999386
1748135021.826,72221.826,106.54,612413695,612413.695,1.5561769999999342
1748135021.847,72221.847,106.54,612434651,612434.651,1.5771330000000034
1748135021.868,72221.868,106.56,612455315,612455.315,1.597797000000014
1748135021.885,72221.885,106.56,612472831,612472.831,1.6153130000000149
1748135021.906,72221.906,106.56,612493742,612493.742,1.63622399999997
1748135021.927,72221.927,106.56,612514573,612514.573,1.657055000000014
1748135021.945,72221.945,106.56,612532388,612532.388,1.6748699999999417
1748135021.965,72221.965,106.56,612552894,612552.894,1.6953760000000102
1748135021.986,72221.986,106.56,612573688,612573.688,1.71616999999992
1748135022.007,72222.007,106.16,612594488,612594.488,1.7369699999999284
1748135022.025,72222.025,106.16,612612961,612612.961,1.755443000000014
1748135022.046,72222.046,106.16,612633851,612633.851,1.7763330000000224
1748135022.067,72222.067,106.16,612654519,612654.519,1.797001000000023
1748135022.088,72222.088,106.58,612675299,612675.299,1.817780999999968
1748135022.105,72222.105,106.58,612692791,612692.791,1.8352730000000288
1748135022.125,72222.125,106.58,612712997,612712.997,1.8554789999999457
1748135022.143,72222.143,106.64,612730400,612730.4,1.872882000000004
1748135022.164,72222.164,107.0,612751351,612751.351,1.8938329999999723
1748135022.185,72222.185,107.0,612772174,612772.174,1.9146559999999224
1748135022.205,72222.205,107.0,612792832,612792.832,1.9353139999999485
1748135022.226,72222.226,107.0,612813535,612813.535,1.9560169999999744
1748135022.247,72222.247,107.0,612834346,612834.346,1.976827999999955
1748135022.267,72222.267,107.0,612855093,612855.093,1.9975749999999837
1748135022.288,72222.288,107.02,612875928,612875.928,2.018410000000017
1748135022.309,72222.309,107.02,612896671,612896.671,2.039152999999942
1748135022.33,72222.33,107.02,612917790,612917.79,2.060271999999941
1748135022.351,72222.351,107.02,612938650,612938.65,2.081132000000025
1748135022.372,72222.372,107.02,612959348,612959.348,2.10182999999995
1748135022.392,72222.392,107.02,612980308,612980.308,2.122790000000009
1748135022.413,72222.413,107.02,613001015,613001.015,2.143497000000025
1748135022.434,72222.434,107.0,613022001,613022.001,2.1644830000000184
1748135022.455,72222.455,107.0,613042625,613042.625,2.1851070000000163
1748135022.476,72222.476,107.0,613064080,613064.08,2.2065619999999626
1748135022.497,72222.497,107.0,613084982,613084.982,2.227463999999941
1748135022.518,72222.518,107.0,613105777,613105.777,2.248258999999962
1748135022.539,72222.539,107.0,613126710,613126.71,2.2691919999999755
1748135022.56,72222.56,107.0,613147490,613147.49,2.2899719999999206
1748135022.581,72222.581,107.0,613168627,613168.627,2.311108999999988
1748135022.601,72222.601,107.0,613189351,613189.351,2.3318329999999605
1748135022.622,72222.622,107.0,613210272,613210.272,2.3527540000000045
1748135022.643,72222.643,107.0,613231105,613231.105,2.373586999999929
1748135022.664,72222.664,107.0,613252055,613252.055,2.394537000000014
1748135022.685,72222.685,106.65,613273090,613273.09,2.4155719999999974
1748135022.706,72222.706,106.65,613293734,613293.734,2.436215999999945
1748135022.727,72222.727,106.65,613314707,613314.707,2.457188999999971
1748135022.747,72222.747,106.65,613335390,613335.39,2.477871999999934
1748135022.768,72222.768,106.64,613356102,613356.102,2.498583999999937
1748135022.789,72222.789,106.56,613376791,613376.791,2.5192729999999983
1748135022.809,72222.809,106.56,613397534,613397.534,2.5400159999999232
1748135022.83,72222.83,106.56,613418260,613418.26,2.5607420000000047
1748135022.851,72222.851,106.56,613438934,613438.934,2.58141599999999
1748135022.872,72222.872,106.64,613459762,613459.762,2.602243999999928
1748135022.892,72222.892,106.65,613480401,613480.401,2.6228830000000016
1748135022.913,72222.913,106.65,613500946,613500.946,2.643427999999972
1748135022.934,72222.934,106.65,613521944,613521.944,2.664425999999935
1748135022.952,72222.952,107.0,613540373,613540.373,2.6828550000000178
1748135022.973,72222.973,107.0,613561118,613561.118,2.7035999999999376
1748135022.994,72222.994,107.0,613582280,613582.28,2.724761999999941
1748135023.015,72223.015,107.0,613602998,613602.998,2.745479999999929
1748135023.036,72223.036,107.02,613623702,613623.702,2.766183999999953
1748135023.056,72223.056,107.02,613644374,613644.374,2.7868559999999434
1748135023.077,72223.077,107.02,613665307,613665.307,2.807788999999957
1748135023.098,72223.098,107.02,613686338,613686.338,2.8288199999999506
1748135023.119,72223.119,107.02,613707036,613707.036,2.849517999999989
1748135023.14,72223.14,107.02,613727773,613727.773,2.870254999999929
1748135023.161,72223.161,107.02,613748869,613748.869,2.891350999999986
1748135023.181,72223.181,107.02,613769597,613769.597,2.912078999999949
1748135023.202,72223.202,107.02,613790358,613790.358,2.932839999999942
1748135023.224,72223.224,107.0,613811742,613811.742,2.9542239999999538
1748135023.245,72223.245,107.02,613832748,613832.748,2.9752300000000105
1748135023.265,72223.265,106.62,613853375,613853.375,2.995857000000001
1748135023.286,72223.286,106.54,613873993,613873.993,3.016475000000014
1748135023.306,72223.306,106.54,613894656,613894.656,3.037138000000027
1748135023.327,72223.327,106.54,613915475,613915.475,3.057956999999988
1748135023.348,72223.348,106.54,613936471,613936.471,3.078952999999956
1748135023.369,72223.369,106.54,613957383,613957.383,3.0998650000000225
1748135023.39,72223.39,106.54,613977997,613977.997,3.120478999999932
1748135023.411,72223.411,106.56,613998952,613998.952,3.141434000000004
1748135023.432,72223.432,106.62,614019827,614019.827,3.1623089999999365
1748135023.452,72223.452,107.02,614040475,614040.475,3.182956999999988
1748135023.473,72223.473,106.56,614061829,614061.829,3.204310999999961
1748135023.494,72223.494,106.56,614082689,614082.689,3.225170999999932
1748135023.515,72223.515,106.54,614103414,614103.414,3.245896000000016
1748135023.536,72223.536,106.56,614124123,614124.123,3.266605000000027
1748135023.556,72223.556,107.02,614144774,614144.774,3.2872559999999567
1748135023.577,72223.577,106.65,614165724,614165.724,3.308205999999928
1748135023.598,72223.598,106.65,614186561,614186.561,3.329042999999956
1748135023.619,72223.619,107.02,614207277,614207.277,3.349758999999949
1748135023.64,72223.64,107.02,614228288,614228.288,3.370769999999993
1748135023.661,72223.661,107.02,614249358,614249.358,3.391840000000002
1748135023.682,72223.682,107.02,614270267,614270.267,3.4127489999999625
1748135023.702,72223.702,107.02,614290912,614290.912,3.433394000000021
1748135023.723,72223.723,106.71,614311614,614311.614,3.454095999999936
1748135023.744,72223.744,107.02,614332422,614332.422,3.474903999999924
1748135023.765,72223.765,107.02,614353656,614353.656,3.496137999999973
1748135023.786,72223.786,107.02,614374270,614374.27,3.5167519999999968
1748135023.806,72223.806,107.02,614394899,614394.899,3.537380999999982
1748135023.828,72223.828,107.02,614416169,614416.169,3.5586509999999407
1748135023.849,72223.849,106.58,614437026,614437.026,3.579507999999919
1748135023.869,72223.869,107.02,614457718,614457.718,3.6001999999999725
1748135023.89,72223.89,107.02,614478773,614478.773,3.621255000000019
1748135023.911,72223.911,107.0,614499769,614499.769,3.642250999999988
1748135023.932,72223.932,106.98,614520467,614520.467,3.662949000000026
1748135023.953,72223.953,106.98,614541187,614541.187,3.683669000000009
1748135023.973,72223.973,106.62,614561966,614561.966,3.7044479999999567
1748135023.994,72223.994,106.98,614582673,614582.673,3.725154999999973
1748135024.015,72224.015,106.62,614603787,614603.787,3.746268999999984
1748135024.036,72224.036,106.62,614624395,614624.395,3.7668770000000222
1748135024.056,72224.056,106.58,614645030,614645.03,3.787511999999992
1748135024.078,72224.078,106.56,614666469,614666.469,3.808950999999979
1748135024.099,72224.099,106.56,614687167,614687.167,3.8296490000000176
1748135024.119,72224.119,106.54,614708096,614708.096,3.850577999999928
1748135024.14,72224.14,106.54,614728660,614728.66,3.871141999999963
1748135024.161,72224.161,106.54,614749351,614749.351,3.89183300000002
1748135024.181,72224.181,106.54,614770063,614770.063,3.912545000000023
1748135024.202,72224.202,106.54,614790783,614790.783,3.933265000000006
1748135024.223,72224.223,106.54,614811679,614811.679,3.954160999999999
1748135024.244,72224.244,106.56,614832468,614832.468,3.9749499999999216
1748135024.265,72224.265,106.56,614853347,614853.347,3.995828999999958
1748135024.285,72224.285,106.56,614874030,614874.03,4.016511999999921
1748135024.306,72224.306,106.56,614894832,614894.832,4.037313999999924
1748135024.327,72224.327,106.56,614915490,614915.49,4.05797199999995
1748135024.348,72224.348,106.65,614936452,614936.452,4.078934000000004
1748135024.368,72224.368,107.02,614957176,614957.176,4.099657999999977
1748135024.389,72224.389,107.04,614977881,614977.881,4.1203629999999976
1748135024.41,72224.41,107.04,614998983,614998.983,4.141464999999926
1748135024.431,72224.431,107.04,615019711,615019.711,4.162193000000002
1748135024.452,72224.452,107.04,615040427,615040.427,4.182908999999995
1748135024.472,72224.472,107.04,615061102,615061.102,4.203583999999978
1748135024.493,72224.493,107.02,615082086,615082.086,4.224567999999977
1748135024.514,72224.514,106.78999999999999,615103074,615103.074,4.245555999999965
1748135024.535,72224.535,106.56,615123728,615123.728,4.266210000000001
1748135024.556,72224.556,106.56,615144453,615144.453,4.286934999999971
1748135024.577,72224.577,106.56,615165486,615165.486,4.30796799999996
1748135024.597,72224.597,106.78999999999999,615186350,615186.35,4.32883199999992
1748135024.618,72224.618,106.56,615207023,615207.023,4.349505000000022
