unix_timestamp,time_since_midnight,distance,relative_time_us,relative_time_ms,relative_time_s,outlier_type
1748135022.622,72222.622,106.65,613210272,613210.272,2.3527540000000045,distance
1748135022.664,72222.664,107.02,613252055,613252.055,2.394537000000014,distance
1748135022.685,72222.685,107.02,613273090,613273.09,2.4155719999999974,distance
1748135022.706,72222.706,106.56,613293734,613293.734,2.436215999999945,distance
1748135022.727,72222.727,106.14,613314707,613314.707,2.457188999999971,distance
1748135022.747,72222.747,106.27,613335390,613335.39,2.477871999999934,distance
1748135022.768,72222.768,106.16,613356102,613356.102,2.498583999999937,distance
1748135022.789,72222.789,107.0,613376791,613376.791,2.5192729999999983,distance
1748135022.809,72222.809,106.64,613397534,613397.534,2.5400159999999232,distance
1748135022.83,72222.83,106.18,613418260,613418.26,2.5607420000000047,distance
1748135022.851,72222.851,107.02,613438934,613438.934,2.58141599999999,distance
1748135022.872,72222.872,107.02,613459762,613459.762,2.602243999999928,distance
1748135022.892,72222.892,106.56,613480401,613480.401,2.6228830000000016,distance
1748135022.913,72222.913,99.88,613500946,613500.946,2.643427999999972,distance
1748135022.934,72222.934,107.0,613521944,613521.944,2.664425999999935,distance
1748135022.952,72222.952,63.63,613540373,613540.373,2.6828550000000178,distance
1748135022.973,72222.973,107.02,613561118,613561.118,2.7035999999999376,distance
1748135022.994,72222.994,106.65,613582280,613582.28,2.724761999999941,distance
1748135023.015,72223.015,107.02,613602998,613602.998,2.745479999999929,distance
1748135023.036,72223.036,106.54,613623702,613623.702,2.766183999999953,distance
1748135023.098,72223.098,107.0,613686338,613686.338,2.8288199999999506,distance
1748135023.119,72223.119,107.04,613707036,613707.036,2.849517999999989,distance
1748135023.161,72223.161,107.15,613748869,613748.869,2.891350999999986,distance
1748135023.181,72223.181,107.13,613769597,613769.597,2.912078999999949,distance
1748135023.224,72223.224,106.54,613811742,613811.742,2.9542239999999538,distance
1748135023.245,72223.245,106.54,613832748,613832.748,2.9752300000000105,distance
1748135023.265,72223.265,106.54,613853375,613853.375,2.995857000000001,distance
1748135023.286,72223.286,106.16,613873993,613873.993,3.016475000000014,distance
1748135023.306,72223.306,106.62,613894656,613894.656,3.037138000000027,distance
1748135023.327,72223.327,107.02,613915475,613915.475,3.057956999999988,distance
1748135023.348,72223.348,106.53,613936471,613936.471,3.078952999999956,distance
1748135023.369,72223.369,107.04,613957383,613957.383,3.0998650000000225,distance
1748135023.39,72223.39,106.18,613977997,613977.997,3.120478999999932,distance
